group,person,answered
0,0,w
0,0,z
0,0,a
0,0,o
0,0,p
0,0,v
0,0,s
0,0,c
0,0,x
0,0,k
0,0,n
0,0,y
0,0,j
0,0,t
0,0,i
0,0,u
0,0,l
0,1,b
0,1,e
0,1,l
0,1,f
0,1,o
0,1,r
0,1,s
0,1,g
0,1,d
0,1,h
0,1,u
0,1,v
0,1,m
0,1,w
0,1,c
1,0,k
1,0,i
1,0,o
1,0,c
1,0,p
1,0,z
1,0,j
1,0,h
1,0,s
1,0,e
1,0,t
1,0,q
1,0,n
1,0,w
1,0,b
1,0,l
1,1,m
1,1,a
1,1,c
1,1,i
1,1,y
1,1,w
1,1,l
1,1,b
1,1,p
1,1,o
1,1,d
1,1,g
1,1,e
1,1,v
1,1,u
1,1,j
1,1,n
1,1,s
1,1,k
1,1,t
1,1,r
1,1,z
1,2,k
1,2,p
1,2,e
1,2,b
1,2,j
1,2,f
1,2,c
1,2,h
1,2,t
1,2,l
1,2,s
1,2,o
1,2,n
1,2,w
1,2,i
1,2,z
1,3,p
1,3,c
1,3,e
1,3,z
1,3,w
1,3,j
1,3,t
1,3,s
1,3,i
1,3,n
1,3,x
1,3,l
1,3,o
1,3,b
1,3,k
2,0,l
2,0,r
2,0,c
2,0,p
2,1,c
2,1,d
2,1,l
2,1,b
2,1,e
2,1,p
2,1,r
2,2,r
2,2,l
2,2,q
2,2,c
2,2,y
2,2,u
2,2,t
2,2,p
2,3,l
2,3,c
2,3,p
2,3,r
2,4,l
2,4,r
2,4,t
2,4,c
2,4,p
2,4,y
2,4,m
3,0,g
3,0,x
3,0,c
3,0,q
3,0,b
3,0,o
3,0,w
3,0,a
3,0,e
3,0,l
3,0,f
3,0,j
3,0,h
3,0,p
3,0,k
3,0,n
3,0,z
3,1,g
3,1,f
3,1,l
3,1,h
3,1,a
3,1,c
3,1,k
3,1,z
3,1,w
3,1,q
3,1,x
3,1,o
3,1,j
3,1,e
3,1,b
3,2,l
3,2,f
3,2,w
3,2,o
3,2,c
3,2,e
3,2,x
3,2,q
3,2,b
3,2,k
3,2,j
3,2,h
3,2,g
3,2,a
3,2,z
4,0,f
4,0,p
4,0,i
4,0,v
4,0,a
4,0,o
4,0,z
4,0,q
4,0,n
4,0,k
4,0,e
4,0,x
4,0,t
4,0,m
4,0,b
4,0,r
4,0,j
4,0,h
4,0,y
4,0,c
4,0,d
4,0,w
4,0,u
4,0,g
4,1,m
4,1,o
4,1,t
4,1,g
4,1,c
4,1,r
4,1,z
4,1,a
4,1,i
4,1,s
4,1,q
4,1,l
4,1,p
4,1,d
4,1,w
4,1,b
4,1,e
4,1,y
4,1,h
4,1,u
4,1,k
4,1,f
4,2,h
4,2,b
4,2,i
4,2,q
4,2,c
4,2,d
4,2,m
4,2,k
4,2,p
4,2,a
4,2,w
4,2,u
4,2,e
4,2,y
4,2,z
4,2,t
4,2,g
4,2,f
4,2,o
4,2,r
4,3,z
4,3,r
4,3,c
4,3,e
4,3,h
