outer,qty,inner
vibrant lavender,1,shiny coral
vibrant lavender,4,dotted purple
dotted blue,5,muted violet
faded magenta,5,dull gold
faded magenta,5,drab blue
faded magenta,2,wavy maroon
wavy black,2,posh white
wavy black,1,plaid lavender
wavy black,4,drab green
wavy olive,5,mirrored tan
wavy olive,5,vibrant lime
wavy olive,3,dull lime
wavy olive,5,dim lime
light magenta,3,bright maroon
light magenta,5,faded yellow
light magenta,2,dim indigo
faded bronze,2,pale orange
faded bronze,4,vibrant tomato
faded bronze,3,clear tomato
faded bronze,1,vibrant beige
plaid crimson,2,drab purple
plaid crimson,5,drab lime
plaid crimson,4,vibrant gold
bright lavender,5,shiny teal
posh chartreuse,4,faded violet
posh chartreuse,3,pale black
posh chartreuse,2,posh coral
posh yellow,5,dim indigo
vibrant yellow,1,bright orange
vibrant yellow,1,pale yellow
vibrant yellow,1,wavy crimson
vibrant yellow,2,bright crimson
clear bronze,5,mirrored blue
vibrant purple,5,clear purple
pale turquoise,4,muted indigo
wavy aqua,4,pale brown
wavy aqua,3,vibrant silver
wavy aqua,3,dotted silver
wavy aqua,3,pale maroon
dim green,4,light tomato
dim green,5,drab teal
dim green,2,vibrant blue
bright crimson,2,muted beige
bright crimson,4,muted white
bright crimson,3,plaid lime
wavy yellow,3,pale gold
pale gray,1,dotted lime
pale gray,4,drab magenta
pale gray,4,shiny indigo
dull orange,2,dull aqua
dull orange,5,bright salmon
dull orange,4,faded lime
dull orange,2,dull red
wavy lime,2,faded gray
wavy lime,5,pale aqua
wavy lime,3,mirrored aqua
faded gray,2,dotted silver
faded gray,1,posh brown
light gold,5,plaid turquoise
light gold,2,dim indigo
light lime,3,dark beige
light lime,4,clear fuchsia
light lime,1,clear beige
light lime,3,dotted crimson
muted tomato,2,drab black
muted tomato,1,dark orange
muted tomato,3,light aqua
vibrant bronze,4,wavy purple
vibrant bronze,4,posh coral
vibrant bronze,2,shiny salmon
posh gray,2,wavy coral
posh gray,5,posh salmon
posh bronze,2,dull teal
posh bronze,1,muted yellow
light cyan,3,light lavender
shiny purple,5,drab gray
dim tan,1,pale black
shiny fuchsia,3,dark purple
shiny fuchsia,1,striped brown
shiny fuchsia,3,posh indigo
shiny fuchsia,1,dotted crimson
pale red,2,pale bronze
bright coral,5,bright salmon
bright coral,4,vibrant beige
bright coral,3,bright brown
faded orange,1,muted brown
faded orange,2,dark gold
faded orange,1,posh aqua
faded orange,5,faded gold
striped beige,2,striped lavender
striped beige,3,mirrored maroon
shiny bronze,5,dim lime
shiny bronze,1,mirrored maroon
shiny bronze,4,drab bronze
shiny bronze,2,striped yellow
muted crimson,3,mirrored coral
muted crimson,4,light silver
muted crimson,2,shiny gold
faded lavender,1,shiny indigo
faded lavender,2,light aqua
posh black,3,muted gold
pale magenta,2,muted orange
pale magenta,4,muted crimson
pale magenta,4,striped turquoise
striped coral,1,shiny cyan
striped coral,2,clear red
clear black,2,drab brown
drab olive,5,faded gray
drab olive,3,plaid silver
drab olive,5,light maroon
mirrored orange,1,faded beige
mirrored orange,5,plaid turquoise
pale green,5,dark gold
pale green,2,shiny coral
pale green,5,striped aqua
dim gray,1,drab magenta
pale orange,5,dotted olive
pale orange,2,posh brown
pale orange,2,light aqua
wavy white,2,striped yellow
wavy white,3,posh bronze
wavy white,3,faded green
drab bronze,5,dotted lime
drab bronze,1,dark orange
drab bronze,1,wavy maroon
drab bronze,4,dim brown
mirrored coral,1,shiny cyan
mirrored coral,3,dotted olive
mirrored coral,1,faded silver
mirrored coral,2,shiny indigo
striped brown,4,mirrored aqua
striped brown,2,plaid lime
striped brown,4,dark gray
striped brown,4,muted gold
pale gold,3,mirrored salmon
pale gold,4,dim fuchsia
dark indigo,2,bright cyan
dark indigo,1,vibrant olive
drab gray,2,wavy blue
drab gray,5,vibrant violet
drab gray,3,dim lime
vibrant indigo,4,pale orange
plaid chartreuse,4,striped tan
plaid chartreuse,4,striped gold
plaid chartreuse,1,muted gray
plaid chartreuse,4,drab teal
faded blue,4,striped black
faded blue,3,dark white
