seq,number
0,2
1,32
2,10
3,49
4,28
5,42
6,18
7,29
8,17
9,46
10,27
11,24
12,14
13,31
14,21
15,13
16,48
17,1
18,30
19,23
20,50
21,8
22,36
23,6
24,7
25,3
26,11
27,19
28,4
29,40
30,5
31,9
32,10
33,12
34,15
35,16
36,17
37,20
38,14
39,88
40,18
41,66
42,13
43,21
44,25
45,22
46,23
47,26
48,28
49,83
50,29
51,24
52,31
53,19
54,34
55,27
56,30
57,33
58,32
59,35
60,38
61,44
62,37
63,50
64,36
65,39
66,40
67,60
68,59
69,56
70,52
71,43
72,46
73,47
74,48
75,71
76,64
77,49
78,51
79,82
80,89
81,62
82,108
83,123
84,72
85,73
86,79
87,153
88,75
89,85
90,94
91,83
92,95
93,90
94,91
95,93
96,109
97,99
98,97
99,148
100,100
101,111
102,113
103,124
104,170
105,161
106,169
107,160
108,162
109,147
110,152
111,178
112,158
113,238
114,182
115,212
116,173
117,181
118,183
119,213
120,190
121,196
122,197
123,338
124,211
125,299
126,224
127,237
128,271
129,305
130,307
131,344
132,355
133,325
134,386
135,340
136,331
137,418
138,354
139,356
140,364
141,363
142,371
143,373
144,409
145,387
146,407
147,408
148,568
149,435
150,624
151,659
152,508
153,576
154,612
155,632
156,656
157,665
158,671
159,685
160,744
161,1034
162,764
163,717
164,729
165,727
166,734
167,758
168,794
169,1031
170,1058
171,815
172,843
173,1067
174,1570
175,1084
176,1792
177,1321
178,1188
179,1283
180,1288
181,1493
182,1538
183,1405
184,1402
185,1444
186,1446
187,1552
188,1451
189,2041
190,1461
191,1573
192,1601
193,3034
194,1873
195,2416
196,1658
197,2509
198,2734
199,2272
200,2367
201,4272
202,2471
203,2590
204,2978
205,2944
206,2898
207,3062
208,2846
209,3102
210,3474
211,2897
212,2912
213,3024
214,3119
215,3259
216,3174
217,3531
218,3930
219,4025
220,4074
221,5264
222,4639
223,6031
224,4743
225,5730
226,6080
227,5061
228,6283
229,5743
230,5744
231,5758
232,5936
233,5809
234,5921
235,8738
236,9818
237,8592
238,6650
239,6293
240,8235
241,10575
242,7461
243,7955
244,8713
245,8817
246,12092
247,9382
248,9804
249,11745
250,14156
251,10804
252,10805
253,11487
254,11664
255,17409
256,11567
257,11730
258,12102
259,12214
260,12943
261,13754
262,16053
263,26858
264,14248
265,19685
266,15416
267,16174
268,18621
269,19621
270,24316
271,32564
272,19186
273,21291
274,27630
275,38807
276,21609
277,22292
278,33393
279,23297
280,23669
281,23944
282,23832
283,31787
284,29807
285,26697
286,37423
287,44055
288,29664
289,30422
290,34602
291,55893
292,37783
293,37807
294,62986
295,54366
296,40477
297,42483
298,42900
299,43901
300,44906
301,60099
302,45589
303,46966
304,47129
305,47613
306,47776
307,68738
308,56361
309,64409
310,78035
311,75590
312,74323
313,112639
314,65024
315,72385
316,78260
317,82713
318,78284
319,91030
320,143061
321,128302
322,90259
323,86801
324,121936
325,112153
326,92555
327,182814
328,111375
329,94742
330,95389
331,112800
332,120770
333,121385
334,129433
335,137409
336,139347
337,143308
338,173673
339,143284
340,268415
341,156544
342,168543
343,165085
344,177060
345,218561
346,179356
347,181543
348,182190
349,187297
350,279852
351,187944
352,277579
353,240808
354,232151
355,208189
356,233570
357,242155
358,264693
359,266842
360,280693
361,282631
362,286592
363,299828
364,308369
365,321629
366,325087
367,345603
368,397917
369,356416
370,367300
371,368840
372,363733
373,651471
374,420867
375,396133
376,420095
377,440340
378,441759
379,450344
380,472882
381,475725
382,506848
383,531535
384,547535
385,742496
386,569223
387,664785
388,898835
389,804073
390,646716
391,670690
392,741736
393,723716
394,720149
395,731033
396,1466212
397,1388501
398,1349179
399,816228
400,923226
401,973294
402,1004417
403,1122441
404,948607
405,979730
406,1398951
407,1038383
408,1079070
409,1116758
410,1215939
411,1289372
412,1769157
413,2052364
414,1317406
415,1366865
416,2656237
417,1454749
418,1451182
419,2087014
420,2387562
421,1896520
422,1739454
423,1764835
424,1789522
425,1921901
426,1928337
427,1953024
428,2295009
429,1986990
430,2018113
431,2117453
432,3319889
433,2195828
434,2332697
435,2505311
436,4552757
437,2684271
438,2768588
439,2772155
440,2821614
441,2905931
442,3667791
443,3807635
444,3528976
445,4285721
446,3504289
447,3757567
448,3554357
449,4148852
450,3850238
451,5238628
452,4725179
453,7631110
454,6003463
455,4135566
456,4313281
457,5515717
458,4528525
459,6301131
460,5189582
461,7081869
462,5452859
463,6410220
464,5593769
465,6579181
466,6434907
467,9039820
468,7033265
469,7286543
470,7261856
471,7906419
472,7311924
473,7404595
474,11987035
475,8163519
476,12998364
477,8448847
478,8664091
479,10531988
480,11717876
481,8841806
482,10044242
483,11490713
484,12905693
485,13814815
486,11046628
487,11863079
488,12627034
489,13696763
