x,y,spot,n
0,0,L,0
1,0,L,0
2,0,L,0
3,0,L,0
4,0,L,0
5,0,L,0
6,0,L,0
7,0,L,0
8,0,L,0
9,0,.,0
10,0,L,0
11,0,L,0
12,0,L,0
13,0,L,0
14,0,L,0
15,0,L,0
16,0,L,0
17,0,.,0
18,0,L,0
19,0,L,0
20,0,L,0
21,0,L,0
22,0,L,0
23,0,L,0
24,0,L,0
25,0,L,0
26,0,L,0
27,0,L,0
28,0,.,0
29,0,L,0
30,0,L,0
31,0,L,0
32,0,L,0
33,0,L,0
34,0,.,0
35,0,L,0
36,0,L,0
37,0,L,0
38,0,L,0
39,0,L,0
40,0,L,0
41,0,.,0
42,0,L,0
43,0,L,0
44,0,L,0
45,0,L,0
46,0,L,0
47,0,L,0
48,0,L,0
49,0,L,0
50,0,.,0
51,0,L,0
52,0,.,0
53,0,L,0
54,0,L,0
55,0,L,0
56,0,L,0
57,0,L,0
58,0,L,0
59,0,.,0
60,0,.,0
61,0,L,0
62,0,.,0
63,0,L,0
64,0,L,0
65,0,L,0
66,0,L,0
67,0,L,0
68,0,.,0
69,0,L,0
70,0,L,0
71,0,L,0
72,0,L,0
73,0,L,0
74,0,L,0
75,0,L,0
76,0,L,0
77,0,L,0
78,0,L,0
79,0,.,0
80,0,L,0
81,0,L,0
82,0,L,0
83,0,L,0
84,0,L,0
85,0,L,0
86,0,L,0
87,0,L,0
88,0,L,0
89,0,L,0
90,0,L,0
0,1,L,0
1,1,L,0
2,1,L,0
3,1,L,0
4,1,L,0
5,1,L,0
6,1,L,0
7,1,L,0
8,1,L,0
9,1,.,0
10,1,L,0
11,1,L,0
12,1,L,0
13,1,L,0
14,1,L,0
15,1,L,0
16,1,.,0
17,1,.,0
18,1,L,0
19,1,L,0
20,1,L,0
21,1,L,0
22,1,L,0
23,1,L,0
24,1,L,0
25,1,L,0
26,1,L,0
27,1,L,0
28,1,.,0
29,1,L,0
30,1,L,0
31,1,L,0
32,1,L,0
33,1,L,0
34,1,.,0
35,1,L,0
36,1,L,0
37,1,L,0
38,1,L,0
39,1,L,0
40,1,L,0
41,1,L,0
42,1,L,0
43,1,.,0
44,1,L,0
45,1,L,0
46,1,L,0
47,1,.,0
48,1,L,0
49,1,L,0
50,1,.,0
51,1,L,0
52,1,L,0
53,1,L,0
54,1,L,0
55,1,L,0
56,1,L,0
57,1,L,0
58,1,L,0
59,1,L,0
60,1,L,0
61,1,L,0
62,1,L,0
63,1,L,0
64,1,L,0
65,1,L,0
66,1,L,0
67,1,L,0
68,1,.,0
69,1,L,0
70,1,L,0
71,1,L,0
72,1,L,0
73,1,L,0
74,1,L,0
75,1,L,0
76,1,L,0
77,1,L,0
78,1,L,0
79,1,.,0
80,1,L,0
81,1,L,0
82,1,L,0
83,1,L,0
84,1,L,0
85,1,L,0
86,1,L,0
87,1,L,0
88,1,L,0
89,1,L,0
90,1,L,0
0,2,L,0
1,2,L,0
2,2,L,0
3,2,L,0
4,2,L,0
5,2,L,0
6,2,L,0
7,2,L,0
8,2,L,0
9,2,.,0
10,2,L,0
11,2,L,0
12,2,L,0
13,2,L,0
14,2,L,0
15,2,L,0
16,2,L,0
17,2,L,0
18,2,L,0
19,2,L,0
20,2,L,0
21,2,L,0
22,2,.,0
23,2,L,0
24,2,L,0
25,2,L,0
26,2,L,0
27,2,L,0
28,2,.,0
29,2,L,0
30,2,L,0
31,2,L,0
32,2,L,0
33,2,L,0
34,2,L,0
35,2,L,0
36,2,L,0
37,2,L,0
38,2,.,0
39,2,L,0
40,2,L,0
41,2,L,0
42,2,L,0
43,2,L,0
44,2,L,0
45,2,L,0
46,2,.,0
47,2,.,0
48,2,L,0
49,2,L,0
50,2,L,0
51,2,L,0
52,2,L,0
53,2,L,0
54,2,L,0
55,2,L,0
56,2,L,0
57,2,L,0
58,2,L,0
59,2,L,0
60,2,L,0
61,2,L,0
62,2,L,0
63,2,L,0
64,2,L,0
65,2,L,0
66,2,L,0
67,2,L,0
68,2,L,0
69,2,L,0
70,2,L,0
71,2,L,0
72,2,L,0
73,2,L,0
74,2,L,0
75,2,L,0
76,2,L,0
77,2,L,0
78,2,L,0
79,2,.,0
80,2,L,0
81,2,L,0
82,2,L,0
83,2,.,0
84,2,L,0
85,2,L,0
86,2,L,0
87,2,L,0
88,2,L,0
89,2,L,0
90,2,L,0
0,3,L,0
1,3,L,0
2,3,L,0
3,3,L,0
4,3,L,0
5,3,L,0
6,3,L,0
7,3,L,0
8,3,L,0
9,3,L,0
10,3,L,0
11,3,L,0
12,3,L,0
13,3,L,0
14,3,L,0
15,3,L,0
16,3,L,0
17,3,.,0
18,3,L,0
19,3,L,0
20,3,L,0
21,3,L,0
22,3,.,0
23,3,L,0
24,3,L,0
25,3,L,0
26,3,L,0
27,3,L,0
28,3,.,0
29,3,L,0
30,3,L,0
31,3,L,0
32,3,L,0
33,3,L,0
34,3,.,0
35,3,L,0
36,3,L,0
37,3,L,0
38,3,L,0
39,3,L,0
40,3,L,0
41,3,.,0
42,3,L,0
43,3,L,0
44,3,L,0
45,3,L,0
46,3,.,0
47,3,L,0
48,3,L,0
49,3,L,0
50,3,.,0
51,3,L,0
52,3,L,0
53,3,L,0
54,3,L,0
55,3,L,0
56,3,L,0
57,3,L,0
58,3,L,0
59,3,L,0
60,3,.,0
61,3,L,0
62,3,L,0
63,3,L,0
64,3,L,0
65,3,L,0
66,3,L,0
67,3,L,0
68,3,.,0
69,3,L,0
70,3,L,0
71,3,L,0
72,3,L,0
73,3,.,0
74,3,L,0
75,3,L,0
76,3,L,0
77,3,L,0
78,3,L,0
79,3,.,0
80,3,L,0
81,3,L,0
82,3,L,0
83,3,L,0
84,3,L,0
85,3,L,0
86,3,L,0
87,3,L,0
88,3,L,0
89,3,L,0
90,3,L,0
0,4,L,0
1,4,.,0
2,4,L,0
3,4,L,0
4,4,L,0
5,4,L,0
6,4,L,0
7,4,L,0
8,4,L,0
9,4,.,0
10,4,L,0
11,4,L,0
12,4,L,0
13,4,L,0
14,4,L,0
15,4,L,0
16,4,L,0
17,4,.,0
18,4,L,0
19,4,L,0
20,4,L,0
21,4,L,0
22,4,.,0
23,4,L,0
24,4,L,0
25,4,.,0
26,4,L,0
27,4,L,0
28,4,L,0
29,4,L,0
30,4,L,0
31,4,L,0
32,4,L,0
33,4,.,0
34,4,.,0
35,4,L,0
36,4,L,0
37,4,L,0
38,4,L,0
39,4,L,0
40,4,L,0
41,4,.,0
42,4,L,0
43,4,L,0
44,4,L,0
45,4,L,0
46,4,L,0
47,4,L,0
48,4,L,0
49,4,L,0
50,4,.,0
51,4,L,0
52,4,L,0
53,4,L,0
54,4,L,0
55,4,L,0
56,4,L,0
57,4,L,0
58,4,L,0
59,4,L,0
60,4,.,0
61,4,L,0
62,4,L,0
63,4,L,0
64,4,L,0
65,4,L,0
66,4,L,0
67,4,L,0
68,4,L,0
69,4,L,0
70,4,L,0
71,4,L,0
72,4,L,0
73,4,L,0
74,4,.,0
75,4,L,0
76,4,L,0
77,4,L,0
78,4,L,0
79,4,.,0
80,4,L,0
81,4,L,0
82,4,L,0
83,4,L,0
84,4,L,0
85,4,L,0
86,4,L,0
87,4,L,0
88,4,L,0
