t,act,arg
0,F,12
1,W,1
2,N,3
3,E,3
4,W,3
5,F,93
6,N,2
7,R,90
8,N,4
9,L,180
10,F,13
11,E,2
12,R,270
13,F,16
14,S,4
15,L,90
16,E,1
17,S,4
18,R,180
19,L,90
20,S,2
21,F,89
22,S,3
23,R,90
24,W,1
25,F,2
26,S,2
27,W,3
28,R,180
29,N,2
30,F,41
31,E,3
32,F,74
33,E,1
34,F,20
35,W,3
36,F,32
37,E,1
38,R,90
39,F,19
40,S,4
41,E,1
42,F,41
43,L,180
44,S,1
45,L,90
46,E,5
47,L,90
48,W,2
49,F,45
50,R,180
51,F,17
52,S,3
53,E,2
54,S,1
55,F,27
56,N,5
57,R,180
58,S,1
59,E,5
60,N,1
61,L,270
62,F,60
63,L,180
64,F,18
65,N,2
66,R,180
67,E,4
68,S,4
69,L,180
70,S,5
71,L,270
72,S,1
73,F,32
74,S,5
75,F,83
76,N,2
77,R,180
78,W,1
79,L,180
80,E,2
81,S,3
82,F,94
83,N,3
84,F,82
85,L,90
86,N,2
87,W,5
88,R,180
89,S,4
90,W,3
91,E,1
92,F,81
93,S,3
94,F,45
95,R,90
96,F,51
97,R,180
98,N,1
99,W,5
100,L,90
101,E,3
102,N,5
103,E,3
104,R,180
105,N,3
106,R,180
107,F,87
108,E,4
109,R,90
110,E,4
111,L,180
112,E,4
113,R,90
114,N,1
115,L,270
116,N,3
117,E,3
118,E,3
119,L,180
120,N,1
121,W,5
122,N,3
123,F,85
124,N,1
125,E,2
126,S,3
127,L,90
128,E,5
129,N,3
130,N,1
131,F,74
132,W,2
133,F,79
134,S,1
135,L,90
136,W,5
137,F,88
138,W,4
139,N,1
140,R,180
141,F,94
142,L,90
143,W,5
144,F,79
145,R,180
146,R,270
147,N,3
148,F,83
149,W,3
150,N,3
151,L,90
152,F,33
153,S,5
154,F,93
155,L,90
156,S,1
157,W,3
158,F,24
159,L,90
160,F,80
161,S,2
162,F,86
163,F,7
164,R,90
165,E,1
166,S,3
167,W,3
168,F,23
169,R,90
170,S,1
171,W,4
172,R,90
173,N,4
174,R,270
175,S,1
176,E,1
177,F,20
178,L,270
179,F,31
180,S,2
181,L,180
182,F,41
183,E,3
184,L,90
185,N,3
186,E,3
187,N,1
188,E,5
189,F,27
190,S,3
191,W,2
192,L,90
193,E,5
194,S,1
195,F,9
196,S,3
197,E,2
198,R,90
199,S,5
200,E,2
201,R,180
202,E,3
203,F,32
204,E,3
205,S,1
206,W,1
207,F,39
208,N,4
209,F,5
210,E,5
211,F,26
212,W,4
213,S,1
214,F,54
215,S,5
216,R,90
217,F,50
218,W,4
219,S,1
220,L,90
221,S,5
222,L,90
223,F,2
224,E,5
225,L,90
226,N,1
227,W,3
228,F,75
229,L,90
230,F,85
231,S,2
232,W,4
233,F,93
234,S,4
235,E,3
236,S,2
237,E,4
238,R,90
239,S,3
240,W,1
241,F,94
242,R,90
243,N,3
244,R,270
245,S,2
246,W,3
247,N,5
248,F,1
249,S,1
250,F,32
251,E,2
252,F,17
253,N,4
254,W,2
255,S,4
256,L,90
257,W,2
258,N,2
259,L,180
260,F,94
261,R,90
262,F,78
263,N,3
264,E,3
265,N,3
266,E,4
267,F,37
268,E,5
269,L,180
270,W,2
271,L,180
272,N,2
273,R,270
274,S,2
275,F,28
276,R,90
277,S,1
278,F,15
279,E,1
280,F,50
281,N,3
282,R,90
283,F,14
284,N,4
285,F,80
286,L,90
287,S,5
288,W,1
289,L,90
290,W,5
291,F,100
292,N,1
293,L,90
294,N,5
295,W,2
296,N,1
297,F,76
298,L,180
299,S,3
300,L,180
301,E,1
302,E,5
303,F,1
304,R,90
305,W,4
306,F,95
307,S,2
308,R,90
309,W,2
310,F,29
311,W,2
312,F,47
313,W,5
314,S,5
315,W,4
316,F,58
317,L,90
318,F,22
319,N,1
320,E,4
321,N,4
322,E,2
323,S,5
324,L,180
325,W,4
326,N,2
327,W,3
328,R,90
329,F,76
330,N,1
331,F,41
332,W,5
333,F,48
334,W,1
335,N,4
336,E,2
337,R,180
338,F,79
339,N,1
340,L,90
341,S,4
342,E,2
343,F,86
344,N,2
345,E,1
346,F,5
347,W,4
348,S,2
349,L,90
350,F,3
351,R,270
352,F,43
353,L,180
354,S,5
355,R,90
356,W,5
357,R,180
358,E,4
359,S,3
360,R,90
361,S,2
362,F,41
363,F,70
364,L,270
365,E,4
366,R,90
367,F,18
368,S,4
369,F,88
370,E,2
