i,arrival,bus
0,1005595,41
1,1005595,
2,1005595,
3,1005595,
4,1005595,
5,1005595,
6,1005595,
7,1005595,
8,1005595,
9,1005595,
10,1005595,
11,1005595,
12,1005595,
13,1005595,
14,1005595,
15,1005595,
16,1005595,
17,1005595,
18,1005595,
19,1005595,
20,1005595,
21,1005595,
22,1005595,
23,1005595,
24,1005595,
25,1005595,
26,1005595,
27,1005595,
28,1005595,
29,1005595,
30,1005595,
31,1005595,
32,1005595,
33,1005595,
34,1005595,
35,1005595,37
36,1005595,
37,1005595,
38,1005595,
39,1005595,
40,1005595,
41,1005595,557
42,1005595,
43,1005595,29
44,1005595,
45,1005595,
46,1005595,
47,1005595,
48,1005595,
49,1005595,
50,1005595,
51,1005595,
52,1005595,
53,1005595,
54,1005595,13
55,1005595,
56,1005595,
57,1005595,
58,1005595,17
59,1005595,
60,1005595,
61,1005595,
62,1005595,
63,1005595,
64,1005595,23
65,1005595,
66,1005595,
67,1005595,
68,1005595,
69,1005595,
70,1005595,
71,1005595,
72,1005595,419
73,1005595,
74,1005595,
75,1005595,
76,1005595,
77,1005595,
78,1005595,
79,1005595,
80,1005595,
81,1005595,
82,1005595,
83,1005595,
84,1005595,
85,1005595,
86,1005595,
87,1005595,
88,1005595,
89,1005595,
90,1005595,
91,1005595,19
