id,top,bottom,left,right,block
3209,.#####.#..,..##.###.#,..#...###.,..#.#.##.#,"{{.,#,#,#,#,#,.,#,.,.},{.,.,.,.,.,#,#,#,.,.},{#,.,.,.,.,.,.,.,.,#},{.,.,.,.,#,.,#,.,.,.},{.,.,#,.,.,.,#,#,#,#},{.,.,.,.,.,.,#,.,.,.},{#,.,.,.,.,.,.,.,.,#},{#,.,#,#,.,.,.,.,.,#},{#,.,.,#,.,#,.,.,.,.},{.,.,#,#,.,#,#,#,.,#}}"
2213,##.#.#..#.,...#.###..,#####..#..,......#...,"{{#,#,.,#,.,#,.,.,#,.},{#,#,.,.,.,.,.,#,.,.},{#,.,.,#,#,.,#,#,.,.},{#,.,.,.,.,.,#,#,#,.},{#,.,.,.,.,#,.,.,.,.},{.,.,.,.,.,.,.,.,.,.},{.,.,.,.,#,.,#,.,.,#},{#,.,.,.,.,.,.,.,.,.},{.,.,#,#,.,.,.,.,#,.},{.,.,.,#,.,#,#,#,.,.}}"
1277,##.##...##,#.#...##.#,####.##.##,###.#.#.##,"{{#,#,.,#,#,.,.,.,#,#},{#,.,.,#,.,#,.,.,#,#},{#,.,.,.,.,.,#,.,#,#},{#,#,.,.,#,#,.,.,.,.},{.,.,.,#,.,.,.,.,#,#},{#,#,#,#,#,.,.,#,.,.},{#,.,#,.,.,#,.,#,#,#},{.,.,.,#,.,.,.,.,#,.},{#,.,.,.,#,.,.,#,#,#},{#,.,#,.,.,.,#,#,.,#}}"
2131,#..###.##.,.##.....#.,#....#....,.#.##.##..,"{{#,.,.,#,#,#,.,#,#,.},{.,.,.,.,.,.,.,.,.,#},{.,.,#,.,.,.,.,.,.,.},{.,.,#,.,.,.,#,.,#,#},{.,.,.,#,.,.,.,#,.,#},{#,.,#,.,.,.,.,.,.,.},{.,.,#,.,.,#,.,.,.,#},{.,.,.,.,.,#,.,.,.,#},{.,#,#,.,#,.,.,.,.,.},{.,#,#,.,.,.,.,.,#,.}}"
3911,#.....####,#..#.#.###,#...#..###,#..#....##,"{{#,.,.,.,.,.,#,#,#,#},{.,.,.,.,.,.,.,.,.,.},{.,.,.,#,.,.,.,.,.,.},{.,.,#,.,.,.,#,#,#,#},{#,.,.,.,.,#,.,.,.,.},{.,.,.,#,.,.,.,.,#,.},{.,.,.,.,.,.,.,.,.,.},{#,.,#,.,.,.,.,.,.,.},{#,.,.,.,#,.,.,.,#,#},{#,.,.,#,.,#,.,#,#,#}}"
3767,...#...##.,.....#.###,.#...#..#.,....###..#,"{{.,.,.,#,.,.,.,#,#,.},{#,.,.,.,.,.,.,#,.,.},{.,.,#,.,.,.,.,#,.,.},{.,.,.,.,.,.,.,.,.,.},{.,.,.,.,.,#,.,#,.,#},{#,.,.,.,.,#,.,#,.,#},{.,#,.,.,.,#,.,.,.,#},{.,.,.,.,.,.,.,.,.,.},{#,.,.,.,.,.,.,.,.,.},{.,.,.,.,.,#,.,#,#,#}}"
2741,#...######,.....#....,##.##...#.,##.#..###.,"{{#,.,.,.,#,#,#,#,#,#},{#,.,.,.,.,.,#,.,#,#},{.,.,.,.,.,#,.,.,#,.},{#,.,#,#,.,.,.,.,#,#},{#,#,.,#,.,.,#,.,.,.},{.,#,.,.,.,#,.,#,#,.},{.,#,.,.,.,.,#,#,.,#},{.,.,#,.,.,.,#,.,.,#},{#,.,#,#,.,.,.,.,.,#},{.,.,.,.,.,#,.,.,.,.}}"
2591,.#####...#,#.##.....#,..#...#.##,###.#.##.#,"{{.,#,#,#,#,#,.,.,.,#},{.,.,#,#,#,.,.,.,.,#},{#,.,.,.,.,.,.,.,.,#},{.,.,.,#,.,.,.,.,#,.},{.,.,.,#,#,.,.,.,.,#},{.,#,#,.,.,#,.,.,#,.},{#,.,.,#,#,.,.,.,.,#},{.,.,.,#,.,.,.,.,.,#},{#,.,#,.,.,#,.,.,#,.},{#,.,#,#,.,.,.,.,.,#}}"
1733,##.#...###,.##...#.#.,#..#.#....,#.##.####.,"{{#,#,.,#,.,.,.,#,#,#},{.,.,.,.,.,.,.,#,.,.},{.,.,#,.,.,.,.,#,.,#},{#,.,#,.,#,.,.,.,#,#},{.,.,.,.,#,.,.,.,.,.},{#,#,.,#,.,.,.,.,.,#},{.,.,.,.,.,.,#,.,#,#},{.,.,.,.,.,#,.,.,.,#},{.,.,.,.,.,.,#,.,#,#},{.,#,#,.,.,.,#,.,#,.}}"
1823,.##..##..#,..#.####.#,.#..#...#.,###...#.##,"{{.,#,#,.,.,#,#,.,.,#},{#,#,.,.,#,.,.,#,#,#},{.,.,.,.,.,.,#,#,.,#},{.,.,.,.,.,.,.,.,.,.},{#,#,#,#,#,.,.,.,.,.},{.,#,.,#,#,.,.,.,#,.},{.,#,.,.,.,.,#,.,.,#},{.,.,.,.,.,.,.,#,.,.},{#,.,#,.,.,#,.,#,#,#},{.,.,#,.,#,#,#,#,.,#}}"
